date,year,month,day,weekday,hour,demand,temperature
11/17/2004,2004,11,17,4,20,17458,45
11/17/2004,2004,11,17,4,21,16696,44
11/17/2004,2004,11,17,4,22,15479,44
11/17/2004,2004,11,17,4,23,13825,45
11/17/2004,2004,11,17,4,24,12388,45
11/18/2004,2004,11,18,5,1,11428,44
11/18/2004,2004,11,18,5,2,10959,43
11/18/2004,2004,11,18,5,3,10746,42
11/18/2004,2004,11,18,5,4,10718,42
11/18/2004,2004,11,18,5,5,11068,42
11/18/2004,2004,11,18,5,6,12286,41
11/18/2004,2004,11,18,5,7,14566,40
11/18/2004,2004,11,18,5,8,15867,41
11/18/2004,2004,11,18,5,9,16128,43
11/18/2004,2004,11,18,5,10,16153,46
11/18/2004,2004,11,18,5,11,16189,48
11/18/2004,2004,11,18,5,12,16093,51
11/18/2004,2004,11,18,5,13,15904,53
11/18/2004,2004,11,18,5,14,15829,55
11/18/2004,2004,11,18,5,15,15722,57
11/18/2004,2004,11,18,5,16,15828,56
11/18/2004,2004,11,18,5,17,16962,55
11/18/2004,2004,11,18,5,18,17872,53
11/18/2004,2004,11,18,5,19,17608,53
11/18/2004,2004,11,18,5,20,17147,53
11/18/2004,2004,11,18,5,21,16362,53
11/18/2004,2004,11,18,5,22,15148,52
11/18/2004,2004,11,18,5,23,13561,51
11/18/2004,2004,11,18,5,24,12117,50
11/19/2004,2004,11,19,6,1,11117,50
11/19/2004,2004,11,19,6,2,10615,50
11/19/2004,2004,11,19,6,3,10365,50
11/19/2004,2004,11,19,6,4,10309,50
11/19/2004,2004,11,19,6,5,10601,49
11/19/2004,2004,11,19,6,6,11765,49
11/19/2004,2004,11,19,6,7,13970,49
11/19/2004,2004,11,19,6,8,15288,49
11/19/2004,2004,11,19,6,9,15612,51
11/19/2004,2004,11,19,6,10,15730,54
11/19/2004,2004,11,19,6,11,15808,56
11/19/2004,2004,11,19,6,12,15755,58
11/19/2004,2004,11,19,6,13,15553,58
11/19/2004,2004,11,19,6,14,15460,59
11/19/2004,2004,11,19,6,15,15257,58
