date,year,month,day,weekday,hour,demand
1/6/2018,2018,1,6,7,12,5136
1/6/2018,2018,1,6,7,13,5234
1/6/2018,2018,1,6,7,14,5048
1/6/2018,2018,1,6,7,15,5130
1/6/2018,2018,1,6,7,16,5211
1/6/2018,2018,1,6,7,17,5779
1/6/2018,2018,1,6,7,18,7083
1/6/2018,2018,1,6,7,19,7302
1/6/2018,2018,1,6,7,20,7521
1/6/2018,2018,1,6,7,21,7232
1/6/2018,2018,1,6,7,22,6631
1/6/2018,2018,1,6,7,23,5781
1/7/2018,2018,1,7,1,0,5207
1/7/2018,2018,1,7,1,1,4844
1/7/2018,2018,1,7,1,2,4649
1/7/2018,2018,1,7,1,3,4543
1/7/2018,2018,1,7,1,4,4376
1/7/2018,2018,1,7,1,5,4366
1/7/2018,2018,1,7,1,6,4757
1/7/2018,2018,1,7,1,7,4968
1/7/2018,2018,1,7,1,8,5404
1/7/2018,2018,1,7,1,9,5771
1/7/2018,2018,1,7,1,10,5666
1/7/2018,2018,1,7,1,11,5603
1/7/2018,2018,1,7,1,12,5741
1/7/2018,2018,1,7,1,13,5789
1/7/2018,2018,1,7,1,14,5536
1/7/2018,2018,1,7,1,15,5538
1/7/2018,2018,1,7,1,16,5577
1/7/2018,2018,1,7,1,17,5710
1/7/2018,2018,1,7,1,18,7345
1/7/2018,2018,1,7,1,19,7438
1/7/2018,2018,1,7,1,20,7531
1/7/2018,2018,1,7,1,21,7123
1/7/2018,2018,1,7,1,22,6561
1/7/2018,2018,1,7,1,23,5874
1/8/2018,2018,1,8,2,0,5351
1/8/2018,2018,1,8,2,1,4861
1/8/2018,2018,1,8,2,2,4674
1/8/2018,2018,1,8,2,3,4586
1/8/2018,2018,1,8,2,4,4430
1/8/2018,2018,1,8,2,5,4376
1/8/2018,2018,1,8,2,6,4723
1/8/2018,2018,1,8,2,7,5018
1/8/2018,2018,1,8,2,8,5486
1/8/2018,2018,1,8,2,9,5780
1/8/2018,2018,1,8,2,10,5682
1/8/2018,2018,1,8,2,11,5755
1/8/2018,2018,1,8,2,12,5888
1/8/2018,2018,1,8,2,13,5879
1/8/2018,2018,1,8,2,14,5493
1/8/2018,2018,1,8,2,15,5624
1/8/2018,2018,1,8,2,16,5686
1/8/2018,2018,1,8,2,17,5888
1/8/2018,2018,1,8,2,18,7364
1/8/2018,2018,1,8,2,19,7538
1/8/2018,2018,1,8,2,20,7712
1/8/2018,2018,1,8,2,21,7458
1/8/2018,2018,1,8,2,22,6795
1/8/2018,2018,1,8,2,23,5976
1/9/2018,2018,1,9,3,0,5405
1/9/2018,2018,1,9,3,1,4989
1/9/2018,2018,1,9,3,2,4786
1/9/2018,2018,1,9,3,3,4556
1/9/2018,2018,1,9,3,4,4468
1/9/2018,2018,1,9,3,5,4405
1/9/2018,2018,1,9,3,6,4664
1/9/2018,2018,1,9,3,7,5107
1/9/2018,2018,1,9,3,8,5673
1/9/2018,2018,1,9,3,9,5997
1/9/2018,2018,1,9,3,10,5766
1/9/2018,2018,1,9,3,11,5706
1/9/2018,2018,1,9,3,12,5838
1/9/2018,2018,1,9,3,13,5976
1/9/2018,2018,1,9,3,14,5690
1/9/2018,2018,1,9,3,15,5744
1/9/2018,2018,1,9,3,16,5642
1/9/2018,2018,1,9,3,17,6159
1/9/2018,2018,1,9,3,18,7270
1/9/2018,2018,1,9,3,19,7526
1/9/2018,2018,1,9,3,20,7782
1/9/2018,2018,1,9,3,21,7465
1/9/2018,2018,1,9,3,22,6844
1/9/2018,2018,1,9,3,23,6119
1/10/2018,2018,1,10,4,0,5643
1/10/2018,2018,1,10,4,1,5057
1/10/2018,2018,1,10,4,2,4837
1/10/2018,2018,1,10,4,3,4721
1/10/2018,2018,1,10,4,4,4594
1/10/2018,2018,1,10,4,5,4549
1/10/2018,2018,1,10,4,6,4756
1/10/2018,2018,1,10,4,7,5053
1/10/2018,2018,1,10,4,8,5588
1/10/2018,2018,1,10,4,9,5894
1/10/2018,2018,1,10,4,10,5778
1/10/2018,2018,1,10,4,11,5703
1/10/2018,2018,1,10,4,12,5765
1/10/2018,2018,1,10,4,13,5718
1/10/2018,2018,1,10,4,14,5599
1/10/2018,2018,1,10,4,15,5620
1/10/2018,2018,1,10,4,16,5603
1/10/2018,2018,1,10,4,17,6062
1/10/2018,2018,1,10,4,18,7305
1/10/2018,2018,1,10,4,19,7463
1/10/2018,2018,1,10,4,20,7621
1/10/2018,2018,1,10,4,21,7505
1/10/2018,2018,1,10,4,22,6876
1/10/2018,2018,1,10,4,23,6327
1/11/2018,2018,1,11,5,0,5568
1/11/2018,2018,1,11,5,1,5044
1/11/2018,2018,1,11,5,2,4799
1/11/2018,2018,1,11,5,3,4502
1/11/2018,2018,1,11,5,4,4543
1/11/2018,2018,1,11,5,5,4464
1/11/2018,2018,1,11,5,6,4800
1/11/2018,2018,1,11,5,7,5146
1/11/2018,2018,1,11,5,8,5584
1/11/2018,2018,1,11,5,9,6174
1/11/2018,2018,1,11,5,10,6163
1/11/2018,2018,1,11,5,11,6144
1/11/2018,2018,1,11,5,12,6191
1/11/2018,2018,1,11,5,13,6276
1/11/2018,2018,1,11,5,14,5940
1/11/2018,2018,1,11,5,15,5999
1/11/2018,2018,1,11,5,16,5893
1/11/2018,2018,1,11,5,17,6172
1/11/2018,2018,1,11,5,18,7438
